employee_id,first_name,middle_name,last_name,email,phone,street_address,address_line_2,city,state,country,postal_code,start_date,end_date
1,Colly,Rebe,Grinishin,cgrinishin@accentair.com,951-342-7686,25668 Bunting Street,,Owen Sound,ON,CA,N4K,8/20/2016,7/15/2021
2,Alena,Danielle,Moorerud,amoorerud@accentair.com,441-480-3026,029 Namekagon Street,,Windsor,QC,CA,J1S,5/21/2015,
3,Warde,Sim,Weaver,wweaver@accentair.com,335-259-6368,29 Anderson Point,,Otterburn Park,QC,CA,L6G,12/14/2015,
4,Myrtice,Doralynne,Schultheiss,mschultheiss@accentair.com,656-679-8862,17 Roxbury Point,,Ajax,ON,CA,L1Z,3/2/2011,
5,Wynn,Rosalinde,Placstone,wplacstone@accentair.com,727-367-0849,82303 Fuller Junction,,Louiseville,QC,CA,J5V,8/7/2016,
6,Francene,Wait,Caccavella,fcaccavella@accentair.com,691-498-6383,8 Mcbride Way,,Lebel-sur-Quévillon,QC,CA,N2A,12/22/2008,
7,Sal,Shaina,Freeman,sfreeman@accentair.com,915-219-9950,20 Oakridge Point,,Peterborough,ON,CA,K9H,2/27/2006,
8,Augusto,Channa,Lighton,alighton@accentair.com,224-788-3536,151 Lunder Point,,Kingston,ENG,GB,DT10,9/23/2015,
9,Calli,Jojo,Muldoon,cmuldoon@accentair.com,913-787-8320,512 Gateway Road,,Timmins,ON,CA,P4P,3/2/2008,
10,Dalli,Persis,Lazonby,dlazonby@accentair.com,235-370-2488,6 Red Cloud Park,11th Floor,Ferme-Neuve,QC,CA,V5Y,12/11/2013,
11,Darleen,,Yakolev,dyakolev@accentair.com,789-213-1865,1 Evergreen Avenue,Room 327,Sainte-Anne-de-Bellevue,QC,CA,H9X,9/1/2004,
12,Krystal,Dorthea,Ells,kells@accentair.com,997-460-4176,908 Moose Avenue,,Mont-Tremblant,QC,CA,J8E,12/2/2003,
13,Mae,Bogey,Woodyatt,mwoodyatt@accentair.com,415-930-4310,132 Bonner Court,,Seaton,ENG,GB,LE15,10/13/2022,
14,Liza,Bertie,Sparry,lsparry@accentair.com,749-164-3485,832 Logan Center,,Vanderhoof,BC,CA,G9A,2/19/2018,1/3/2016
15,Daloris,Netta,Manicomb,dmanicomb@accentair.com,104-281-9748,4207 Butternut Center,,Liverpool,ENG,GB,L74,7/19/2013,
