employee_id,first_name,middle_name,last_name,email,phone,street_address,address_line_2,city,state,country,postal_code,start_date,end_date
1,Herschel,Alli,Ackland,hackland@accentair.com,212-427-0342,07 Coolidge Lane,,New York City,NY,US,10270,12/9/2018,
2,Johnath,Cherida,Billyeald,jbillyeald@accentair.com,213-708-7237,57 Calypso Terrace,,Los Angeles,CA,US,90050,3/13/2005,
3,Nealy,Lucias,Harries,nharries@accentair.com,213-968-8443,00 8th Junction,PO Box 33947,Los Angeles,CA,US,90030,5/9/2018,
4,Elbertine,,Ilyushkin,eilyushkin@accentair.com,415-842-4360,5353 Oak Point,1st Floor,San Francisco,CA,US,94116,9/2/2010,12/13/2007
5,Gibbie,Laurette,Faccini,gfaccini@accentair.com,704-883-3980,2961 Burning Wood Road,,Charlotte,NC,US,28256,2/7/2011,10/20/2008
6,Tybi,Prue,Flacknell,tflacknell@accentair.com,845-379-1649,5 Cardinal Park,,White Plains,NY,US,10633,9/28/2018,1/6/2014
7,Kendell,Malinda,Mugg,kmugg@accentair.com,559-587-8427,07 Ilene Drive,,Fresno,CA,US,93715,10/27/2014,
8,Lucina,Mathilde,Gooderidge,lgooderidge@accentair.com,510-221-7336,0472 Dwight Alley,,Richmond,CA,US,94807,10/24/2019,
9,Porty,Myrtice,Tarver,ptarver@accentair.com,619-523-4698,281 Eagan Park,,San Diego,CA,US,92176,1/25/2020,2/26/2016
10,Arlina,Vick,Tubb,atubb@accentair.com,212-649-1566,41 Elmside Place,,Brooklyn,NY,US,11247,12/11/2003,12/18/2016
11,Britney,,Bere,bbere@accentair.com,212-114-1608,36 Tony Junction,,New York City,NY,US,10260,8/26/2020,
12,Patricia,Juliana,Aikin,paikin@accentair.com,425-379-0022,3 Briar Crest Parkway,,Everett,WA,US,98206,3/12/2020,8/29/2020
13,Archibold,Anatola,Trengove,atrengove@accentair.com,714-104-7248,48934 Erie Point,,Garden Grove,CA,US,92645,2/7/2008,
14,Nadean,Orelle,Stockings,nstockings@accentair.com,916-341-7960,44 Kingsford Court,,Sacramento,CA,US,95828,3/24/2011,
15,Dyann,Rance,Leber,dleber@accentair.com,714-969-1651,9672 Tennyson Plaza,,Irvine,CA,US,92710,11/18/2015,
16,Carolee,Caroljean,Risman,crisman@accentair.com,336-184-6789,767 Fisk Circle,,Greensboro,NC,US,27425,2/19/2016,1/13/2005
17,Alexandrina,Beverley,Obern,aobern@accentair.com,253-280-3937,4005 Express Alley,,Tacoma,WA,US,98417,11/1/2005,
18,Ardra,Ezechiel,Smogur,asmogur@accentair.com,323-602-4636,39497 Park Meadow Lane,Apt 236,Los Angeles,CA,US,90060,9/19/2008,
19,Corinna,Carena,Teall,cteall@accentair.com,415-619-6288,551 Florence Hill,,San Francisco,CA,US,94147,8/6/2005,
20,Emmanuel,Jonis,Fielder,efielder@accentair.com,909-841-9047,94 Ramsey Circle,,San Bernardino,CA,US,92415,10/29/2020,6/15/2021
21,Vilhelmina,Emmott,Fritchly,vfritchly@accentair.com,516-602-5416,3 Barnett Court,,Port Washington,NY,US,11054,7/2/2007,
22,Marita,Wainwright,Raddin,mraddin@accentair.com,212-672-2142,38 Burning Wood Hill,,New York City,NY,US,10079,6/5/2018,
23,Lyman,Irene,Viles,lviles@accentair.com,805-200-8748,2378 Grover Court,,Bakersfield,CA,US,93311,9/23/2002,12/18/2011
24,Son,Lannie,Woodman,swoodman@accentair.com,425-710-0618,2 Goodland Court,PO Box 63140,Bellevue,WA,US,98008,9/23/2005,
25,Sheilakathryn,,Ettridge,settridge@accentair.com,509-600-3382,8461 Montana Way,,Spokane,WA,US,99260,5/30/2007,
26,Coral,Emili,Campana,ccampana@accentair.com,425-792-3610,0 Heffernan Hill,,Seattle,WA,US,98133,4/20/2006,
